period,gdp,consumption,investment,government_spending,savings,unemployment_rate,inflation_rate,total_loans,total_deposits,avg_lending_rate,tax_revenue,public_debt,total_profits,avg_productivity,avg_technology
68,1.3388154343553598e+233,85659982.90433422,1.3388154343553598e+233,14040000.0,230965163.89765266,0.0,0.0,371099757.80907875,2136945312.6578734,0.11000000000000001,8400000.0,389160000.0,,30.312726026898893,1.0
69,1.3388154343553598e+233,85667373.11128004,1.3388154343553598e+233,14040000.0,231067527.58926788,0.0,0.0,363677762.6528972,2136945312.6578734,0.11000000000000001,8400000.0,394800000.0,,31.740864321744667,1.0
70,1.3388154343553598e+233,85674252.58130635,1.3388154343553598e+233,14040000.0,231163011.81085566,0.0,0.0,356404207.3998392,2136945312.6578734,0.11000000000000001,8400000.0,400440000.0,,33.40433847317015,1.0
71,1.3388154343553598e+233,85681000.61634775,1.3388154343553598e+233,14040000.0,231251747.99740356,0.0,0.0,349276123.25184244,2136945312.6578734,0.11000000000000001,8400000.0,406080000.0,,34.96251863665629,1.0
72,1.3388154343553598e+233,85686925.67995417,1.3388154343553598e+233,14040000.0,231334559.1203451,0.0,0.0,342290600.7868056,2136945312.6578734,0.11000000000000001,8400000.0,411720000.0,,36.57482939291965,1.0
73,1.3388154343553598e+233,85692454.30162078,1.3388154343553598e+233,14040000.0,231411841.6216188,0.0,0.0,335444788.7710695,2136945312.6578734,0.11000000000000001,8400000.0,417360000.0,,38.38880917578936,1.0
74,1.3388154343553598e+233,85697603.159958,1.3388154343553598e+233,14040000.0,231483975.2645563,0.0,0.0,328735892.9956481,2136945312.6578734,0.11000000000000001,8400000.0,423000000.0,,40.296536224810104,1.0
75,1.3388154343553598e+233,85702399.70688638,1.3388154343553598e+233,14040000.0,231551312.3605647,0.0,0.0,322161175.13573515,2136945312.6578734,0.11000000000000001,8400000.0,428640000.0,,42.13726947986742,1.0
76,1.3388154343553598e+233,85706868.56584488,1.3388154343553598e+233,14040000.0,231614180.59761614,0.0,0.0,315717951.63302046,2136945312.6578734,0.11000000000000001,8400000.0,434280000.0,,44.11230174802312,1.0
77,1.3388154343553598e+233,85711032.67629561,1.3388154343553598e+233,14040000.0,231672884.7242147,0.0,0.0,309403592.60036004,2136945312.6578734,0.11000000000000001,8400000.0,439920000.0,,46.38311531481999,1.0
78,1.3388154343553598e+233,85714913.33056815,1.3388154343553598e+233,14040000.0,231727708.19654152,0.0,0.0,303215520.7483528,2136945312.6578734,0.11000000000000001,8400000.0,445560000.0,,48.713804472602455,1.0
79,1.3388154343553598e+233,85718530.30104679,1.3388154343553598e+233,14040000.0,231778914.6983903,0.0,0.0,297151210.33338577,2136945312.6578734,0.11000000000000001,8400000.0,451200000.0,,51.025794668739174,1.0
80,1.3388154343553598e+233,85721901.95038341,1.3388154343553598e+233,14040000.0,231826749.55090272,0.0,0.0,291208186.12671804,2136945312.6578734,0.11000000000000001,8400000.0,456840000.0,,53.69621777342016,1.0
81,1.3388154343553598e+233,85725106.5541564,1.3388154343553598e+233,14040000.0,231871379.79964176,0.0,0.0,285384022.4041837,2136945312.6578734,0.11000000000000001,8400000.0,462480000.0,,56.434222913152425,1.0
82,1.3388154343553598e+233,85728024.49710372,1.3388154343553598e+233,14040000.0,231913092.10543233,0.0,0.0,279676341.95610005,2136945312.6578734,0.11000000000000001,8400000.0,468120000.0,,59.13591867744192,1.0
83,1.3388154343553598e+233,85730756.79701401,1.3388154343553598e+233,14040000.0,231952072.11131427,0.0,0.0,274082815.11697805,2136945312.6578734,0.11000000000000001,8400000.0,473760000.0,,61.84683775097005,1.0
84,1.3388154343553598e+233,85733303.86862884,1.3388154343553598e+233,14040000.0,231988505.04558092,0.0,0.0,268601158.81463844,2136945312.6578734,0.11000000000000001,8400000.0,479400000.0,,64.66526451659011,1.0
85,1.3388154343553598e+233,85735679.76820083,1.3388154343553598e+233,14040000.0,232022562.0802744,0.0,0.0,263229135.6383457,2136945312.6578734,0.11000000000000001,8400000.0,485040000.0,,67.88314104488417,1.0
86,1.3388154343553598e+233,85737896.19733219,1.3388154343553598e+233,14040000.0,232054402.68583813,0.0,0.0,257964552.92557877,2136945312.6578734,0.11000000000000001,8400000.0,490680000.0,,71.35790860079724,1.0
87,1.3388154343553598e+233,85739964.15006527,1.3388154343553598e+233,14040000.0,232084175.33866742,0.0,0.0,252805261.8670672,2136945312.6578734,0.11000000000000001,8400000.0,496320000.0,,74.89429331558244,1.0
