period,total_consumption,total_saving,average_consumption,consumption_inequality,saving_rate,inflation,growth,unemployment
50,95006304.42370915,-14921653.641737163,95006.30442370915,1.015005518846532,-0.18632351513101944,0.007869844153119582,0.12848482685797652,0.10185984019929022
51,95641880.81214212,-15070755.725413978,95641.88081214212,1.0138528298841567,-0.18704909121216262,0.0,0.1353398092573903,0.10406436878870401
52,94751081.19195864,-14908755.416870566,94751.08119195864,1.0148701843654893,-0.1867274690728299,0.007890100747851726,0.1250701888372499,0.10266051889468432
53,93562216.45972522,-14742930.034624686,93562.21645972521,1.0111421314419968,-0.18704724063487208,0.023312654070400292,0.11065438790078022,0.11364802444185235
54,96015236.82301791,-15157360.172732271,96015.23682301791,1.013540358374815,-0.18745681683293033,0.026041835403158204,0.13938046855218322,0.10380008002842438
55,95583714.62235957,-15081167.029189162,95583.71462235958,1.014274923801698,-0.18733776110296171,0.03054282785547012,0.13437347350905143,0.10833036191151584
56,96478374.65664692,-15268461.835427687,96478.37465664692,1.0133394237131659,-0.18801229191121863,0.04638629700216494,0.1443410630421973,0.11065152988166543
57,97374708.3240686,-15381036.305008536,97374.7083240686,1.0139106812094127,-0.18758808974225588,0.06018528257799459,0.15538513146276994,0.10885024842215965
58,100819720.02113608,-15912734.36759718,100819.72002113608,1.0171367520795533,-0.1874137239134686,0.056829277192363296,0.19643707088295037,0.11173992942323699
59,100055044.58453842,-15791382.385041274,100055.04458453841,1.0129967662803174,-0.18740441576885927,0.057379803087830944,0.18737190359359754,0.10603434957084464
60,96668383.49242352,-15320115.502120517,96668.38349242351,1.016582683595496,-0.18832749461791526,0.05504512587070458,0.14629064648301765,0.10442871903757725
61,98204722.07093334,-15459280.73656201,98204.72207093335,1.0165254276887334,-0.1868293949160488,0.051571443857632134,0.16597842565013923,0.10722973625753991
62,98409440.54943377,-15514092.58511762,98409.44054943377,1.0128815723383198,-0.18715275303260623,0.04657295455360325,0.16809078245867048,0.11195994556282676
63,95742418.12725833,-15098788.689122718,95742.41812725834,1.0124422083882343,-0.18722853614500937,0.06348848173847657,0.13636147894871797,0.11605037944164256
64,95235523.69912851,-15024042.657280026,95235.5236991285,1.0137813614128908,-0.1873053889809313,0.07178677001533926,0.130272011074422,0.11227987397490012
65,96476466.98783185,-15283552.991593687,96476.46698783185,1.0143359498954656,-0.18823752270181862,0.06395624540995787,0.144101530049567,0.11914411093413634
66,99064236.95051715,-15574022.23229951,99064.23695051715,1.0120944433224524,-0.18653709641138633,0.05631869766744384,0.17647313911784682,0.1257825247579975
67,100273231.02845286,-15834881.191798978,100273.23102845286,1.011380075776562,-0.18753186463771002,0.0495868967489976,0.18983345329190007,0.12734858666651763
68,101465513.36587755,-16041728.960679911,101465.51336587756,1.0121376623936464,-0.18778995887828923,0.05087173707970466,0.20371935961233245,0.12986626640612603
69,101778059.13567092,-16068182.974021744,101778.05913567092,1.0145372413376146,-0.1874717791414969,0.04555179888574774,0.20775072146622428,0.12678129987243417
70,103614194.30664894,-16288590.159645855,103614.19430664893,1.012297987193345,-0.18652708239184698,0.045015259822966044,0.23051818686687428,0.136245888248931
71,103295043.07156503,-16411493.47931685,103295.04307156503,1.016135194307972,-0.18889068824118455,0.05620491990425434,0.22428912982768642,0.13883353378429714
72,102944324.4404251,-16237778.722508013,102944.3244404251,1.0134850506346533,-0.1872728130046199,0.06568286098947326,0.2217949416839243,0.13395981508945337
73,101392908.86445977,-15992013.579267705,101392.90886445977,1.0124142170815773,-0.1872581490611213,0.07817802043836786,0.203396825588968,0.12816838338580022
